VentasPrevias,Precio,Temporada,Promocionar
Alta,Alto,Invierno,NO
Alta,Medio,Invierno,NO
Alta,Bajo,Invierno,NO
Alta,Alto,Verano,NO
Alta,Medio,Verano,NO
Alta,Bajo,Verano,SI
Alta,Alto,Otoño,NO
Alta,Medio,Otoño,NO
Alta,Bajo,Otoño,NO
Alta,Alto,Primavera,NO
Media,Alto,Invierno,NO
Media,Medio,Invierno,SI
Media,Bajo,Invierno,SI
Media,Alto,Verano,NO
Media,Medio,Verano,SI
Media,Bajo,Verano,SI
Media,Alto,Otoño,NO
Media,Medio,Otoño,SI
Media,Bajo,Otoño,SI
Media,Alto,Primavera,NO
Baja,Alto,Invierno,NO
Baja,Medio,Invierno,SI
Baja,Bajo,Invierno,SI
Baja,Alto,Verano,NO
Baja,Medio,Verano,SI
Baja,Bajo,Verano,SI
Baja,Alto,Otoño,NO
Baja,Medio,Otoño,SI
Baja,Bajo,Otoño,SI
Baja,Alto,Primavera,NO
Alta,Alto,Invierno,NO
Alta,Medio,Invierno,NO
Alta,Bajo,Invierno,NO
Alta,Alto,Verano,NO
Alta,Medio,Verano,NO
Alta,Bajo,Verano,SI
Alta,Alto,Otoño,NO
Alta,Medio,Otoño,NO
Alta,Bajo,Otoño,NO
Alta,Alto,Primavera,NO
Media,Alto,Invierno,NO
Media,Medio,Invierno,SI
Media,Bajo,Invierno,SI
Media,Alto,Verano,NO
Media,Medio,Verano,SI
Media,Bajo,Verano,SI
Media,Alto,Otoño,NO
Media,Medio,Otoño,SI
Media,Bajo,Otoño,SI
Media,Alto,Primavera,NO
Baja,Alto,Invierno,NO
Baja,Medio,Invierno,SI
Baja,Bajo,Invierno,SI
Baja,Alto,Verano,NO
Baja,Medio,Verano,SI
Baja,Bajo,Verano,SI
Baja,Alto,Otoño,NO
Baja,Medio,Otoño,SI
Baja,Bajo,Otoño,SI
Baja,Alto,Primavera,NO
Alta,Alto,Invierno,NO
Alta,Medio,Invierno,NO
Alta,Bajo,Invierno,NO
Alta,Alto,Verano,NO
Alta,Medio,Verano,NO
Alta,Bajo,Verano,SI
Alta,Alto,Otoño,NO
Alta,Medio,Otoño,NO
Alta,Bajo,Otoño,NO
Alta,Alto,Primavera,NO
Media,Alto,Invierno,NO
Media,Medio,Invierno,SI
Media,Bajo,Invierno,SI
Media,Alto,Verano,NO
Media,Medio,Verano,SI
Media,Bajo,Verano,SI
Media,Alto,Otoño,NO
Media,Medio,Otoño,SI
Media,Bajo,Otoño,SI
Media,Alto,Primavera,NO
Baja,Alto,Invierno,NO
Baja,Medio,Invierno,SI
Baja,Bajo,Invierno,SI
Baja,Alto,Verano,NO
Baja,Medio,Verano,SI
Baja,Bajo,Verano,SI
Baja,Alto,Otoño,NO
Baja,Medio,Otoño,SI
Baja,Bajo,Otoño,SI
Baja,Alto,Primavera,NO
Media,Medio,Primavera,SI
Media,Bajo,Primavera,SI
Media,Alto,Invierno,NO
Media,Medio,Invierno,SI
Media,Bajo,Invierno,SI
Media,Alto,Verano,NO
Media,Medio,Verano,SI
